"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://carnahanlandscaping.com/blog/4-cost-effective-pool-building-tips/,97,100,100,97,0.7 s,2.1 s,0,30 ms,0.8 s,4.0 s,322,98,100,100,100,0.5 s,0.8 s,0.008,30 ms,0.8 s,4.0 s,322,04/10/2024
https://carnahanlandscaping.com/blog/5-ideas-for-your-outdoor-kitchen-in-houston/,99,100,100,97,0.7 s,2.1 s,0,60 ms,1.0 s,1.1 s,339,97,100,100,100,0.4 s,0.7 s,0.008,60 ms,1.0 s,1.1 s,339,04/10/2024
https://carnahanlandscaping.com/blog/drought-tolerant-landscaping-10-key-tips/,95,100,100,97,0.7 s,2.9 s,0,80 ms,0.9 s,1.0 s,377,95,100,100,100,0.5 s,0.8 s,0.008,80 ms,0.9 s,1.0 s,377,04/10/2024
https://carnahanlandscaping.com/blog/why-you-should-consider-building-a-pergola-in-houston/,99,100,100,97,0.7 s,2.1 s,0,60 ms,0.9 s,1.0 s,313,98,100,100,100,0.5 s,0.8 s,0.008,60 ms,0.9 s,1.0 s,313,04/10/2024
https://carnahanlandscaping.com/blog/building-a-covered-patio-in-houston-consider-this/,98,100,100,97,0.7 s,2.1 s,0,140 ms,1.0 s,1.2 s,320,99,100,100,100,0.5 s,0.8 s,0.008,140 ms,1.0 s,1.2 s,320,04/10/2024
https://carnahanlandscaping.com/blog/why-you-should-have-an-outdoor-fireplace-installed/,98,100,100,97,0.7 s,2.1 s,0,90 ms,0.9 s,1.1 s,317,97,100,100,100,0.6 s,0.8 s,0.008,90 ms,0.9 s,1.1 s,317,04/10/2024
https://carnahanlandscaping.com/blog/ask-your-pool-builder-in-houston-these-questions-before-you-start/,99,100,100,97,0.7 s,2.1 s,0,80 ms,0.9 s,1.0 s,347,97,100,100,100,0.4 s,0.8 s,0.008,80 ms,0.9 s,1.0 s,347,04/10/2024
https://carnahanlandscaping.com/blog/the-best-styles-for-outdoor-kitchens/,97,100,100,97,0.6 s,2.1 s,0,150 ms,2.1 s,1.3 s,343,99,100,100,100,0.5 s,0.8 s,0.008,150 ms,2.1 s,1.3 s,343,04/10/2024
https://carnahanlandscaping.com/blog/the-3-most-popular-uses-for-pergolas/,99,100,100,97,0.6 s,2.1 s,0,80 ms,0.9 s,1.1 s,322,94,100,100,100,0.4 s,0.7 s,0.008,80 ms,0.9 s,1.1 s,322,04/10/2024
https://carnahanlandscaping.com/,100,100,100,100,0.7 s,0.8 s,0,0 ms,0.8 s,0.9 s,505,100,100,100,100,0.5 s,0.5 s,0.008,0 ms,0.8 s,0.9 s,505,04/10/2024
https://carnahanlandscaping.com/pool-maintenance/,98,100,100,100,0.6 s,2.1 s,0,100 ms,0.8 s,1.0 s,400,98,100,100,100,0.4 s,0.8 s,0.008,100 ms,0.8 s,1.0 s,400,04/10/2024
https://carnahanlandscaping.com/web-stories/,96,100,100,100,0.7 s,2.1 s,0,180 ms,1.0 s,0.9 s,335,94,100,100,100,0.4 s,0.8 s,0.008,180 ms,1.0 s,0.9 s,335,04/10/2024
https://carnahanlandscaping.com/tos/,99,100,100,100,0.6 s,2.1 s,0,80 ms,0.8 s,0.9 s,230,98,100,100,100,0.4 s,0.8 s,0.008,80 ms,0.8 s,0.9 s,230,04/10/2024
https://carnahanlandscaping.com/privacy/,99,100,100,100,0.6 s,2.1 s,0,0 ms,0.6 s,0.8 s,245,99,100,100,100,0.4 s,0.7 s,0.008,0 ms,0.6 s,0.8 s,245,04/10/2024
https://carnahanlandscaping.com/financing/,99,100,100,100,0.8 s,2.1 s,0,40 ms,0.8 s,1.2 s,325,99,100,100,100,0.4 s,0.8 s,0.008,40 ms,0.8 s,1.2 s,325,04/10/2024
